FECHA,PRECIPITACION,EMBALSE_NOMBRE
31-05-2014,0,Aldeadávila
01-06-2014,0,Aldeadávila
02-06-2014,0,Aldeadávila
03-06-2014,0,Aldeadávila
04-06-2014,0,Aldeadávila
05-06-2014,0,Aldeadávila
06-06-2014,1.6,Aldeadávila
07-06-2014,4,Aldeadávila
08-06-2014,0,Aldeadávila
09-06-2014,0,Aldeadávila
10-06-2014,0,Aldeadávila
11-06-2014,0,Aldeadávila
12-06-2014,0,Aldeadávila
13-06-2014,0,Aldeadávila
14-06-2014,0,Aldeadávila
15-06-2014,0,Aldeadávila
16-06-2014,0,Aldeadávila
17-06-2014,0,Aldeadávila
18-06-2014,0,Aldeadávila
19-06-2014,0,Aldeadávila
20-06-2014,0,Aldeadávila
21-06-2014,0,Aldeadávila
22-06-2014,0,Aldeadávila
23-06-2014,0,Aldeadávila
24-06-2014,8.4,Aldeadávila
25-06-2014,0,Aldeadávila
26-06-2014,0,Aldeadávila
27-06-2014,0,Aldeadávila
28-06-2014,0,Aldeadávila
29-06-2014,0,Aldeadávila
30-06-2014,0,Aldeadávila
01-07-2014,0.6,Aldeadávila
02-07-2014,1.2,Aldeadávila
03-07-2014,0.4,Aldeadávila
04-07-2014,0,Aldeadávila
05-07-2014,0,Aldeadávila
06-07-2014,1.8,Aldeadávila
07-07-2014,0,Aldeadávila
08-07-2014,0,Aldeadávila
09-07-2014,0,Aldeadávila
10-07-2014,0,Aldeadávila
11-07-2014,0,Aldeadávila
12-07-2014,0,Aldeadávila
13-07-2014,0,Aldeadávila
14-07-2014,0,Aldeadávila
15-07-2014,0,Aldeadávila
16-07-2014,0,Aldeadávila
17-07-2014,0,Aldeadávila
18-07-2014,0,Aldeadávila
19-07-2014,6.8,Aldeadávila
20-07-2014,0.4,Aldeadávila
21-07-2014,0,Aldeadávila
22-07-2014,0,Aldeadávila
23-07-2014,0,Aldeadávila
24-07-2014,0,Aldeadávila
25-07-2014,0,Aldeadávila
26-07-2014,0,Aldeadávila
27-07-2014,0,Aldeadávila
28-07-2014,0,Aldeadávila
29-07-2014,0,Aldeadávila
30-07-2014,0,Aldeadávila
31-07-2014,0,Aldeadávila
01-08-2014,0,Aldeadávila
02-08-2014,1.8,Aldeadávila
03-08-2014,0,Aldeadávila
04-08-2014,0,Aldeadávila
05-08-2014,0,Aldeadávila
06-08-2014,0,Aldeadávila
07-08-2014,0,Aldeadávila
08-08-2014,0,Aldeadávila
09-08-2014,0,Aldeadávila
10-08-2014,0,Aldeadávila
11-08-2014,0,Aldeadávila
12-08-2014,0,Aldeadávila
13-08-2014,0,Aldeadávila
14-08-2014,0,Aldeadávila
15-08-2014,0,Aldeadávila
16-08-2014,0,Aldeadávila
17-08-2014,0,Aldeadávila
18-08-2014,0,Aldeadávila
19-08-2014,0,Aldeadávila
20-08-2014,0,Aldeadávila
21-08-2014,0,Aldeadávila
22-08-2014,0,Aldeadávila
23-08-2014,0,Aldeadávila
24-08-2014,0,Aldeadávila
25-08-2014,0,Aldeadávila
26-08-2014,0,Aldeadávila
27-08-2014,0,Aldeadávila
28-08-2014,0,Aldeadávila
29-08-2014,0,Aldeadávila
30-08-2014,0,Aldeadávila
31-08-2014,0,Aldeadávila
01-09-2014,0 ,Aldeadávila
02-09-2014,0.4,Aldeadávila
03-09-2014,0,Aldeadávila
04-09-2014,0,Aldeadávila
05-09-2014,0,Aldeadávila
06-09-2014,5.2,Aldeadávila
08-09-2014,0.4,Aldeadávila
09-09-2014,0,Aldeadávila
10-09-2014,0,Aldeadávila
11-09-2014,0,Aldeadávila
12-09-2014,0,Aldeadávila
13-09-2014,0,Aldeadávila
14-09-2014,0,Aldeadávila
15-09-2014,10.4,Aldeadávila
16-09-2014,2.4,Aldeadávila
17-09-2014,4.8,Aldeadávila
18-09-2014,0.4,Aldeadávila
19-09-2014,25.6,Aldeadávila
20-09-2014,0,Aldeadávila
21-09-2014,6.2,Aldeadávila
22-09-2014,11.8,Aldeadávila
23-09-2014,0.2,Aldeadávila
24-09-2014,0,Aldeadávila
25-09-2014,0,Aldeadávila
26-09-2014,0,Aldeadávila
27-09-2014,25,Aldeadávila
28-09-2014,17.2,Aldeadávila
29-09-2014,0,Aldeadávila
30-09-2014,0,Aldeadávila
01-10-2014,0,Aldeadávila
02-10-2014,0,Aldeadávila
03-10-2014,0,Aldeadávila
04-10-2014,0,Aldeadávila
05-10-2014,0,Aldeadávila
06-10-2014,0.2,Aldeadávila
07-10-2014,0.8,Aldeadávila
08-10-2014,14.4,Aldeadávila
09-10-2014,4.2,Aldeadávila
10-10-2014,0,Aldeadávila
11-10-2014,4,Aldeadávila
12-10-2014,4.6,Aldeadávila
13-10-2014,5.4,Aldeadávila
14-10-2014,5,Aldeadávila
15-10-2014,8.4,Aldeadávila
16-10-2014,1.8,Aldeadávila
17-10-2014,0,Aldeadávila
18-10-2014,0,Aldeadávila
19-10-2014,0,Aldeadávila
20-10-2014,0,Aldeadávila
21-10-2014,0,Aldeadávila
22-10-2014,0,Aldeadávila
23-10-2014,0,Aldeadávila
24-10-2014,0,Aldeadávila
25-10-2014,0,Aldeadávila
26-10-2014,0,Aldeadávila
27-10-2014,0,Aldeadávila
28-10-2014,0,Aldeadávila
29-10-2014,0,Aldeadávila
30-10-2014,0,Aldeadávila
31-10-2014,0,Aldeadávila
01-11-2014,0,Aldeadávila
02-11-2014,0,Aldeadávila
03-11-2014,26.2,Aldeadávila
04-11-2014,0.4,Aldeadávila
05-11-2014,0,Aldeadávila
06-11-2014,0,Aldeadávila
07-11-2014,6.6,Aldeadávila
08-11-2014,7.8,Aldeadávila
09-11-2014,0,Aldeadávila
10-11-2014,5,Aldeadávila
11-11-2014,3.8,Aldeadávila
12-11-2014,4.6,Aldeadávila
13-11-2014,3.8,Aldeadávila
14-11-2014,4.2,Aldeadávila
15-11-2014,5.2,Aldeadávila
16-11-2014,0.2,Aldeadávila
17-11-2014,1.4,Aldeadávila
18-11-2014,0,Aldeadávila
19-11-2014,16.6,Aldeadávila
20-11-2014,0.2,Aldeadávila
21-11-2014,0,Aldeadávila
22-11-2014,0.2,Aldeadávila
23-11-2014,0,Aldeadávila
24-11-2014,0,Aldeadávila
25-11-2014,0.2,Aldeadávila
26-11-2014,0,Aldeadávila
27-11-2014,0.6,Aldeadávila
28-11-2014,3.4,Aldeadávila
29-11-2014,1.6,Aldeadávila
30-11-2014,1.6,Aldeadávila
01-12-2014,2,Aldeadávila
02-12-2014,2.2,Aldeadávila
03-12-2014,1.4,Aldeadávila
04-12-2014,0,Aldeadávila
05-12-2014,0,Aldeadávila
06-12-2014,0,Aldeadávila
07-12-2014,0,Aldeadávila
08-12-2014,0,Aldeadávila
09-12-2014,0,Aldeadávila
10-12-2014,0,Aldeadávila
11-12-2014,0,Aldeadávila
12-12-2014,0,Aldeadávila
13-12-2014,16.8,Aldeadávila
